id,noidung,ghichucv,hinhanh1cv,hinhanh2cv
1,Bảo vệ,,,
2,sửa Atm,,,
7440b2ae,mở cửa trái,,,
24119593,mở cửa phải,,,
a0d9188c,khóa cửa phải,,,
154b617e,khóa cửa trái,,,
117ee640,ra bank,,,
70abe178,Vào bank,,,
7854548e,code alarm,,,
e5b28b25,ăn trưa,,,
0401caf8,giám sát,,,
c3b68162,làm khách,,,
8a75feb4,nhắn tin,,,
27e0f033,giao hàng,,,
66d09093,lấy bin rác,,,
331fc1d7,chăm cây,,,
07e24929,test alarm giữa tháng,,,
0890d8d9,test alarm đầu tháng,,,
725279c1,chuyển tiền,,,
37014aeb,test tủ c/k,,,
375a3c8e,test tủ chìa khoá,,,
f4c93c85,A130 ngưng nạp,,,
2d603401,cúp điện,,,
591628bb,mở cửa sau,,,
d5bf42cd,mất thẻ,,,
639e3405,sửa máy,,,
45b20783,vệ sinh,,,
8d79858c,thay poster,,,
a8c1c175,A130 ngưng,,congviec_Images/a8c1c175.hinhanh1cv.094919.jpg,
09c57ba2,tuần tra xung quanh,,,
8800ceff,chăm hoa,,,
111570fd,Training An ninh,,,
27a55af5,alarm,,,
fc2ae83e,a131 ngưng hđ,,,
39fe996d,kéo mạng,,,
e4cb02a1,tổng vs,,,
89e26ade,diễn tập cướp,,congviec_Images/89e26ade.hinhanh1cv.111935.jpg,
a4eb686e,kiểm tra IT,,,
c4c16ffb,Diễn tập,phòng cháy chữa cháy Toà nhà,,